Country,Continent,Cumulative_cases,Cumulative_deaths,India_Region,India_Confirme_Cases,India_Active_Cases,India_Cured_Discharged,India_Death,Vac_Countries,TOTAL_VACCINATION,VACCINES_USED,VACCINES_USED
Afghanistan,Asia,178332,7676,India,43039023,11058,42506228,521737,Afghanistan,5948889,4,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield"
Albania,Europe,274320,3494,Andaman and Nicobar Islands,10034,0,9905,129,Albania,2815381,5,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Algeria,Africa,265731,6874,Andhra Pradesh,2319617,33,2304854,14730,Algeria,,4,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac"
American Samoa,,5536,18,Arunachal Pradesh,64495,8,64191,296,American Samoa,97346,3,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Andorra,Europe,40709,153,Assam,724200,1351,716210,6639,Andorra,152301,3,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Angola,Africa,99194,1900,Bihar,830495,8,818231,12256,Angola,18756893,1,SII - Covishield
Anguilla,America,2731,9,Chandigarh,91951,18,90768,1165,Anguilla,23126,2,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty"
Antigua and Barbuda,America,7523,135,Chhattisgarh,1152214,32,1138148,14034,Antigua and Barbuda,135516,6,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield"
Argentina,America,9056203,128285,Dadra and Nagar Haveli and Daman and Diu,11441,0,11437,4,Argentina,97576836,7,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield"
Armenia,Europe,422721,8621,Delhi,1866881,814,1839909,26158,Armenia,2141957,7,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated"
Aruba,America,34264,212,Goa,245350,18,241500,3832,Aruba,169887,2,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty"
Australia,Oceania,5019012,6648,Gujarat,1224116,156,1213018,10942,Australia,56587064,5,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty"
Austria,Europe,4065541,16158,Haryana,986259,580,975062,10617,Austria,18216194,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Azerbaijan,Europe,792305,9704,Himachal Pradesh,284660,53,280473,4134,Azerbaijan,13421400,4,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac"
Bahamas,America,33366,789,Jammu and Kashmir,453909,77,449082,4750,Bahamas,335729,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield"
Bahrain,Asia,561525,1473,Jharkhand,435169,9,429845,5315,Bahrain,3430347,8,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield"
Bangladesh,Asia,1952197,29124,Karnataka,3946176,1480,3904639,40057,Bangladesh,254509409,8,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Barbados,America,62968,379,Kerala,6536421,2982,6465037,68402,Barbados,361133,5,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield"
Belarus,Europe,971649,6885,Ladakh,28238,13,27997,228,Belarus,11778178,2,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac"
Belgium,Europe,3943831,31079,Lakshadweep,11402,0,11350,52,Belgium,25267553,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Belize,America,57314,672,Madhya Pradesh,1041222,46,1030441,10735,Belize,471049,5,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield"
Benin,Africa,26605,163,Maharashtra,7875448,724,7726903,147821,Benin,3112919,5,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Bermuda,America,12864,130,Manipur,137169,38,135011,2120,Bermuda,131184,2,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty"
Bhutan,Asia,49066,15,Meghalaya,93786,7,92186,1593,Bhutan,1888156,5,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield"
Bolivia (Plurinational State of),America,903584,21899,Mizoram,225901,683,224529,689,Bolivia (Plurinational State of),13399388,6,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield"
Bonaire,America,7663,28,Nagaland,35487,12,34716,759,Bonaire,33217,,
Bosnia and Herzegovina,Europe,376339,15744,Odisha,1287874,183,1278569,9122,"Bonaire, Sint Eustatius and Saba",7391,2,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Botswana,Africa,305844,2687,Puducherry,165776,2,163812,1962,Bosnia and Herzegovina,1924950,4,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V"
Brazil,America,30183929,661493,Punjab,759223,55,741425,17743,Botswana,2517260,6,"Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
British Virgin Islands,America,6162,62,Rajasthan,1283141,83,1273506,9552,Brazil,407798554,5,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Brunei Darussalam,Asia,139278,157,Sikkim,39144,1,38691,452,British Virgin Islands,40697,2,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S"
Bulgaria,Europe,1147812,36756,Tamil Nadu,3453163,228,3414910,38025,Brunei Darussalam,1084543,5,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Burkina Faso,Africa,20865,383,Telangana,791561,233,787217,4111,Bulgaria,4363076,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Burundi,Africa,38722,15,Tripura,100878,0,99956,922,Burkina Faso,2440917,3,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield"
Cabo Verde,,55978,401,Uttar Pradesh,2071186,307,2047380,23499,Burundi,11083,1,Beijing CNBG - BBIBP-CorV
Cambodia,Asia,135998,3055,Uttarakhand,437303,424,429187,7692,Cabo Verde,728077,4,"Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield"
Cameroon,Africa,119544,1927,West Bengal,2017733,400,1996133,21200,Cambodia,37123822,7,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Canada,America,3590820,38095,,,,,,Cameroon,1820196,4,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield"
